0,190
1,107
2,90
3,87
4,95
5,33
6,14
7,140
8,198
9,153
10,198
11,110
12,38
13,182
14,0
15,3
16,167
17,77
18,194
19,16
20,26
21,158
22,21
23,37
24,75
25,176
26,36
27,12
28,67
29,136
30,144
31,14
32,39
33,76
34,26
35,145
36,181
37,149
38,21
39,109
40,39
41,11
42,194
43,47
44,13
45,163
46,8
47,174
48,181
49,32
50,159
51,193
52,145
53,152
54,26
55,125
56,62
57,181
58,166
59,125
60,93
61,98
62,29
63,77
64,44
65,133
66,81
67,100
68,54
69,88
70,83
71,26
72,180
73,38
74,80
75,78
76,185
77,60
78,55
79,52
80,174
81,118
82,95
83,33
84,14
85,68
86,85
87,181
88,173
89,90
90,115
91,37
92,15
93,68
94,157
95,80
96,172
97,188
98,77
99,79
100,60
101,85
102,187
103,112
104,167
105,168
106,196
107,101
108,53
109,51
110,180
111,16
112,143
113,27
114,162
115,41
116,138
117,111
118,127
119,37
120,88
121,163
122,63
123,122
124,7
125,22
126,79
127,87
128,90
129,93
130,169
131,193
132,141
133,36
134,114
135,27
136,25
137,99
138,40
139,198
140,84
141,48
142,142
143,144
144,114
145,4
146,185
147,188
148,8
149,131
150,37
151,50
152,160
153,32
154,64
155,94
156,184
157,5
158,154
159,188
160,26
161,97
162,127
163,28
164,80
165,69
166,159
167,91
168,166
169,62
170,161
171,143
172,138
173,104
174,101
175,173
176,124
177,8
178,153
179,69
180,36
181,163
182,143
183,44
184,6
185,135
186,148
187,102
188,88
189,47
190,168
191,94
192,12
193,119
194,191
195,133
196,181
197,36
198,26
199,113
200,99
201,91
202,79
203,161
204,29
205,188
206,180
207,142
208,63
209,122
210,57
211,134
212,153
213,103
214,125
215,193
216,88
217,193
218,165
219,43
220,163
221,23
222,122
223,12
224,128
225,63
226,172
227,156
228,149
229,156
230,177
231,54
232,32
233,125
234,77
235,172
236,83
237,194
238,3
239,83
240,137
241,86
242,5
243,104
244,174
245,134
246,77
247,81
248,12
249,55
250,18
251,11
252,69
253,172
254,4
255,174
256,131
257,187
258,181
259,66
260,95
261,191
262,8
263,95
264,54
265,81
266,82
267,5
268,165
269,30
270,198
271,171
272,197
273,35
274,46
275,110
276,104
277,142
278,42
279,168
280,192
281,73
282,111
283,132
284,94
285,65
286,17
287,105
288,116
289,180
290,41
291,60
292,170
293,174
294,71
295,43
296,127
297,198
298,164
